#           k/h    P           
    0.10000E-03    0.39152E+02
    0.10202E-03    0.39911E+02
    0.10408E-03    0.40684E+02
    0.10618E-03    0.41472E+02
    0.10833E-03    0.42276E+02
    0.11052E-03    0.43095E+02
    0.11275E-03    0.43930E+02
    0.11503E-03    0.44781E+02
    0.11735E-03    0.45649E+02
    0.11972E-03    0.46533E+02
    0.12214E-03    0.47435E+02
    0.12461E-03    0.48354E+02
    0.12712E-03    0.49290E+02
    0.12969E-03    0.50245E+02
    0.13231E-03    0.51218E+02
    0.13499E-03    0.52211E+02
    0.13771E-03    0.53222E+02
    0.14049E-03    0.54253E+02
    0.14333E-03    0.55303E+02
    0.14623E-03    0.56375E+02
    0.14918E-03    0.57466E+02
    0.15220E-03    0.58579E+02
    0.15527E-03    0.59714E+02
    0.15841E-03    0.60870E+02
    0.16161E-03    0.62049E+02
    0.16487E-03    0.63250E+02
    0.16820E-03    0.64475E+02
    0.17160E-03    0.65723E+02
    0.17507E-03    0.66996E+02
    0.17860E-03    0.68292E+02
    0.18221E-03    0.69614E+02
    0.18589E-03    0.70962E+02
    0.18965E-03    0.72336E+02
    0.19348E-03    0.73736E+02
    0.19739E-03    0.75163E+02
    0.20138E-03    0.76617E+02
    0.20544E-03    0.78100E+02
    0.20959E-03    0.79611E+02
    0.21383E-03    0.81151E+02
    0.21815E-03    0.82721E+02
    0.22255E-03    0.84321E+02
    0.22705E-03    0.85952E+02
    0.23164E-03    0.87615E+02
    0.23632E-03    0.89309E+02
    0.24109E-03    0.91036E+02
    0.24596E-03    0.92796E+02
    0.25093E-03    0.94590E+02
    0.25600E-03    0.96419E+02
    0.26117E-03    0.98283E+02
    0.26645E-03    0.10018E+03
    0.27183E-03    0.10212E+03
    0.27732E-03    0.10409E+03
    0.28292E-03    0.10610E+03
    0.28864E-03    0.10815E+03
    0.29447E-03    0.11024E+03
    0.30042E-03    0.11237E+03
    0.30649E-03    0.11454E+03
    0.31268E-03    0.11675E+03
    0.31899E-03    0.11900E+03
    0.32544E-03    0.12130E+03
    0.33201E-03    0.12364E+03
    0.33872E-03    0.12603E+03
    0.34556E-03    0.12846E+03
    0.35254E-03    0.13093E+03
    0.35966E-03    0.13346E+03
    0.36693E-03    0.13603E+03
    0.37434E-03    0.13865E+03
    0.38190E-03    0.14132E+03
    0.38962E-03    0.14405E+03
    0.39749E-03    0.14682E+03
    0.40552E-03    0.14965E+03
    0.41371E-03    0.15253E+03
    0.42207E-03    0.15546E+03
    0.43060E-03    0.15845E+03
    0.43929E-03    0.16150E+03
    0.44817E-03    0.16460E+03
    0.45722E-03    0.16777E+03
    0.46646E-03    0.17099E+03
    0.47588E-03    0.17427E+03
    0.48550E-03    0.17762E+03
    0.49530E-03    0.18103E+03
    0.50531E-03    0.18450E+03
    0.51552E-03    0.18804E+03
    0.52593E-03    0.19164E+03
    0.53656E-03    0.19531E+03
    0.54739E-03    0.19905E+03
    0.55845E-03    0.20286E+03
    0.56973E-03    0.20674E+03
    0.58124E-03    0.21070E+03
    0.59299E-03    0.21472E+03
    0.60496E-03    0.21882E+03
    0.61719E-03    0.22300E+03
    0.62965E-03    0.22726E+03
    0.64237E-03    0.23159E+03
    0.65535E-03    0.23600E+03
    0.66859E-03    0.24049E+03
    0.68210E-03    0.24507E+03
    0.69588E-03    0.24973E+03
    0.70993E-03    0.25448E+03
    0.72427E-03    0.25931E+03
    0.73891E-03    0.26423E+03
    0.75383E-03    0.26923E+03
    0.76906E-03    0.27433E+03
    0.78460E-03    0.27953E+03
    0.80045E-03    0.28481E+03
    0.81662E-03    0.29019E+03
