#           k/h    P           
    0.10000E-03    0.46497E+02
    0.10202E-03    0.47398E+02
    0.10408E-03    0.48316E+02
    0.10618E-03    0.49252E+02
    0.10833E-03    0.50207E+02
    0.11052E-03    0.51179E+02
    0.11275E-03    0.52171E+02
    0.11503E-03    0.53182E+02
    0.11735E-03    0.54212E+02
    0.11972E-03    0.55262E+02
    0.12214E-03    0.56333E+02
    0.12461E-03    0.57424E+02
    0.12712E-03    0.58537E+02
    0.12969E-03    0.59671E+02
    0.13231E-03    0.60826E+02
    0.13499E-03    0.62005E+02
    0.13771E-03    0.63206E+02
    0.14049E-03    0.64430E+02
    0.14333E-03    0.65678E+02
    0.14623E-03    0.66950E+02
    0.14918E-03    0.68246E+02
    0.15220E-03    0.69568E+02
    0.15527E-03    0.70915E+02
    0.15841E-03    0.72288E+02
    0.16161E-03    0.73688E+02
    0.16487E-03    0.75115E+02
    0.16820E-03    0.76569E+02
    0.17160E-03    0.78052E+02
    0.17507E-03    0.79563E+02
    0.17860E-03    0.81103E+02
    0.18221E-03    0.82673E+02
    0.18589E-03    0.84273E+02
    0.18965E-03    0.85904E+02
    0.19348E-03    0.87567E+02
    0.19739E-03    0.89261E+02
    0.20138E-03    0.90989E+02
    0.20544E-03    0.92749E+02
    0.20959E-03    0.94544E+02
    0.21383E-03    0.96373E+02
    0.21815E-03    0.98237E+02
    0.22255E-03    0.10014E+03
    0.22705E-03    0.10207E+03
    0.23164E-03    0.10405E+03
    0.23632E-03    0.10606E+03
    0.24109E-03    0.10811E+03
    0.24596E-03    0.11020E+03
    0.25093E-03    0.11233E+03
    0.25600E-03    0.11450E+03
    0.26117E-03    0.11672E+03
    0.26645E-03    0.11897E+03
    0.27183E-03    0.12127E+03
    0.27732E-03    0.12361E+03
    0.28292E-03    0.12600E+03
    0.28864E-03    0.12844E+03
    0.29447E-03    0.13092E+03
    0.30042E-03    0.13344E+03
    0.30649E-03    0.13602E+03
    0.31268E-03    0.13865E+03
    0.31899E-03    0.14132E+03
    0.32544E-03    0.14405E+03
    0.33201E-03    0.14683E+03
    0.33872E-03    0.14966E+03
    0.34556E-03    0.15255E+03
    0.35254E-03    0.15549E+03
    0.35966E-03    0.15849E+03
    0.36693E-03    0.16154E+03
    0.37434E-03    0.16465E+03
    0.38190E-03    0.16783E+03
    0.38962E-03    0.17106E+03
    0.39749E-03    0.17435E+03
    0.40552E-03    0.17771E+03
    0.41371E-03    0.18113E+03
    0.42207E-03    0.18461E+03
    0.43060E-03    0.18816E+03
    0.43929E-03    0.19178E+03
    0.44817E-03    0.19547E+03
    0.45722E-03    0.19922E+03
    0.46646E-03    0.20305E+03
    0.47588E-03    0.20695E+03
    0.48550E-03    0.21092E+03
    0.49530E-03    0.21497E+03
    0.50531E-03    0.21909E+03
    0.51552E-03    0.22329E+03
    0.52593E-03    0.22757E+03
    0.53656E-03    0.23193E+03
    0.54739E-03    0.23637E+03
    0.55845E-03    0.24089E+03
    0.56973E-03    0.24550E+03
    0.58124E-03    0.25019E+03
    0.59299E-03    0.25497E+03
